Booking_ID,User_ID,Vehicle_Type,Pickup_Location,Drop_Location,Booking_Date,Booking_Time,Distance_km,Fare,Payment_Mode,Driver_ID,Status
1001,U9677,Hatchback,Chennai Center,Mumbai Station,06-06-2024,11:23,8.9,180.42,UPI,D305,Completed
1002,U6729,SUV,Pune Center,Kolkata Station,01-06-2024,03:43,17.1,310.66,Cash,D680,Completed
1003,U7281,Sedan,Mumbai Center,Delhi Station,03-06-2024,12:34,22.1,506.87,UPI,D453,Pending
1004,U5473,SUV,Pune Center,Bangalore Station,05-06-2024,09:49,3.8,90.57,Cash,D152,Cancelled
1005,U2312,Hatchback,Hyderabad Center,Delhi Station,05-06-2024,18:26,27.6,553.17,Cash,D366,Cancelled
1006,U6528,Sedan,Bangalore Center,Hyderabad Station,04-06-2024,13:30,4.7,110.41,Wallet,D191,Cancelled
1007,U9062,Sedan,Kolkata Center,Delhi Station,06-06-2024,14:56,7.2,167.31,Wallet,D562,Cancelled
1008,U2749,Bike,Hyderabad Center,Pune Station,06-06-2024,16:29,8,169,Online,D718,Cancelled
1009,U8210,Sedan,Delhi Center,Hyderabad Station,06-06-2024,14:52,9,191.76,Wallet,D825,Completed
1010,U7453,Auto-rickshaw,Bangalore Center,Hyderabad Station,04-06-2024,10:02,6.2,125.24,Cash,D864,Cancelled
1011,U9272,Sedan,Mumbai Center,Chennai Station,03-06-2024,06:30,12.4,209.99,Wallet,D458,Pending
1012,U4647,Sedan,Hyderabad Center,Delhi Station,03-06-2024,00:58,23,424.31,Online,D210,Pending
1013,U6106,Sedan,Chennai Center,Hyderabad Station,04-06-2024,03:44,12.9,280.65,Cash,D437,Completed
1014,U2572,Auto-rickshaw,Chennai Center,Kolkata Station,05-06-2024,14:15,24.6,442.26,Wallet,D159,Cancelled
1015,U4610,Sedan,Bangalore Center,Pune Station,04-06-2024,02:11,3,51.54,UPI,D513,Pending
1016,U4218,Auto-rickshaw,Delhi Center,Pune Station,02-06-2024,01:30,21.5,329.95,UPI,D280,Cancelled
1017,U4881,Auto-rickshaw,Kolkata Center,Delhi Station,05-06-2024,12:44,12.9,242.32,Wallet,D143,Completed
1018,U2301,Auto-rickshaw,Mumbai Center,Delhi Station,01-06-2024,19:17,7.7,172.94,UPI,D597,Cancelled
1019,U6531,Auto-rickshaw,Pune Center,Mumbai Station,03-06-2024,12:11,27.2,510.96,Cash,D825,Completed
1020,U5099,Sedan,Hyderabad Center,Pune Station,02-06-2024,14:40,3.7,68.04,Online,D907,Completed
1021,U4135,Sedan,Hyderabad Center,Chennai Station,01-06-2024,07:09,28.9,478.74,Cash,D988,Cancelled
1022,U6495,Sedan,Chennai Center,Delhi Station,01-06-2024,22:06,25.1,405.32,Cash,D725,Pending
1023,U5184,Sedan,Delhi Center,Chennai Station,05-06-2024,12:49,27,412.57,Wallet,D565,Pending
1024,U6653,Hatchback,Chennai Center,Pune Station,04-06-2024,19:19,7.4,173.37,UPI,D394,Pending
1025,U9105,Auto-rickshaw,Chennai Center,Kolkata Station,01-06-2024,16:09,3.8,68.39,UPI,D515,Cancelled
1026,U4577,Hatchback,Bangalore Center,Delhi Station,03-06-2024,04:27,26.5,549.04,Wallet,D956,Pending
1027,U4809,Auto-rickshaw,Pune Center,Delhi Station,04-06-2024,17:17,28.2,679.39,Cash,D476,Pending
1028,U7008,SUV,Chennai Center,Mumbai Station,05-06-2024,18:59,21.6,530.75,Cash,D762,Pending
1029,U3707,Hatchback,Kolkata Center,Delhi Station,04-06-2024,17:38,22.1,463.15,UPI,D185,Completed
1030,U5720,SUV,Chennai Center,Kolkata Station,02-06-2024,18:42,5.3,94.44,Online,D121,Completed
